Id,FirstName,LastName,YearDied,Type,Score,Rank,CreatedDate,CreatedBy,ModifiedDate,ModifiedBy,DeletedDate,DeletedBy
571,Joan,Eardley,1963,"[expressionism,messy]",0,0,0001-01-01,2,0001-01-01,2,,
572,Eyvind,Earle,2000,"[magical realism,storybook realism,fantasy,high contrast]",0,0,0001-01-01,2,0001-01-01,2,,
573,Amy,Earles,,"[watercolor,character,whimsical,dark]",0,0,0001-01-01,2,0001-01-01,2,,
574,Lori,Earley,,"[portrait,figurativism,surrealism]",0,0,0001-01-01,2,0001-01-01,2,,
575,Jeff,Easley,,"[fantasy]",0,0,0001-01-01,2,0001-01-01,2,,
576,Michael,Eastman,,"[scene,photography,architecture]",0,0,0001-01-01,2,0001-01-01,2,,
577,Timothy,Easton,,"[landscape,impressionism]",0,0,0001-01-01,2,0001-01-01,2,,
578,Janet,Echelman,,"[installation,light,architecture,sculpture]",0,0,0001-01-01,2,0001-01-01,2,,
579,Albert,Edelfelt,1905,"[realism,impressionism]",0,0,0001-01-01,2,0001-01-01,2,,
580,Harold,Edgerton,1990,"[photography,monochromatic]",0,0,0001-01-01,2,0001-01-01,2,,
581,Tyler,Edlin,,"[fantasy,digital,landscape,scene]",0,0,0001-01-01,2,0001-01-01,2,,
582,Jason,Edmiston,,"[fantasy,horror,character,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
583,Les,Edwards,,"[sci-fi,horror,fantasy]",0,0,0001-01-01,2,0001-01-01,2,,
584,Piet Hein,Eek,,"[angular,messy,sculpture,installation]",0,0,0001-01-01,2,0001-01-01,2,,
585,William,Eggleston,,"[streetscape,pop art,photography]",0,0,0001-01-01,2,0001-01-01,2,,
586,Bob,Eggleton,,"[sci-fi,fantasy,horror]",0,0,0001-01-01,2,0001-01-01,2,,
587,Nicole,Eisenman,,"[figurativism,scene]",0,0,0001-01-01,2,0001-01-01,2,,
588,Peter,Eisenman,,"[architecture,angular]",0,0,0001-01-01,2,0001-01-01,2,,
589,Alfred,Eisenstaedt,1995,"[photography,monochromatic,portrait]",0,0,0001-01-01,2,0001-01-01,2,,
590,Will,Eisner,2005,"[comics,cartoon]",0,0,0001-01-01,2,0001-01-01,2,,
591,Jesper,Ejsing,,"[fantasy]",0,0,0001-01-01,2,0001-01-01,2,,
592,,El Greco,1614,"[renaissance]",0,0,0001-01-01,2,0001-01-01,2,,
593,Arthur,Elgort,,"[photography,character,scene,monochromatic]",0,0,0001-01-01,2,0001-01-01,2,,
594,Olafur,Eliasson,,"[installation,light]",0,0,0001-01-01,2,0001-01-01,2,,
595,Christine,Ellger,,"[fantasy,magical realism]",0,0,0001-01-01,2,0001-01-01,2,,
596,Dean,Ellis,2009,"[sci-fi,vibrant]",0,0,0001-01-01,2,0001-01-01,2,,
597,Warren,Ellis,,"[comics,scene,character]",0,0,0001-01-01,2,0001-01-01,2,,
598,Larry,Elmore,,"[fantasy,scene]",0,0,0001-01-01,2,0001-01-01,2,,
599,Joseba,Elorza,,"[photography,surrealism,collage,sci-fi]",0,0,0001-01-01,2,0001-01-01,2,,
600,Adam,Elsheimer,1610,"[baroque,renaissance,romanticism]",0,0,0001-01-01,2,0001-01-01,2,,
601,Peter,Elson,1998,"[sci-fi,space]",0,0,0001-01-01,2,0001-01-01,2,,
602,Gil,Elvgren,1980,"[portrait,character,scene,art nouveau]",0,0,0001-01-01,2,0001-01-01,2,,
603,Tracey,Emin,,"[messy,abstract]",0,0,0001-01-01,2,0001-01-01,2,,
604,Ed,Emshwiller,1990,"[sci-fi,scene]",0,0,0001-01-01,2,0001-01-01,2,,
605,Magnus,Enckell,1925,"[impressionism,symbolism]",0,0,0001-01-01,2,0001-01-01,2,,
606,Daria,Endresen,,"[photography,high contrast,surrealism]",0,0,0001-01-01,2,0001-01-01,2,,
607,Kilian,Eng,,"[digital,landscape,detailed,sci-fi,fantasy]",0,0,0001-01-01,2,0001-01-01,2,,
608,Jason A.,Engle,,"[fantasy,sci-fi,dark]",0,0,0001-01-01,2,0001-01-01,2,,
609,Delphin,Enjolras,1945,"[scene,watercolor,romanticism]",0,0,0001-01-01,2,0001-01-01,2,,
610,Victor,Enrich,,"[photography,architecture,surrealism]",0,0,0001-01-01,2,0001-01-01,2,,
611,James,Ensor,1949,"[expressionism,symbolism]",0,0,0001-01-01,2,0001-01-01,2,,
612,Steve,Epting,,"[comics,high contrast]",0,0,0001-01-01,2,0001-01-01,2,,
613,Leandro,Erlich,,"[photography,architecture,surrealism]",0,0,0001-01-01,2,0001-01-01,2,,
614,Max,Ernst,1979,"[surrealism,expressionism]",0,0,0001-01-01,2,0001-01-01,2,,
615,Rudolf,Ernst,1932,"[romanticism,scene]",0,0,0001-01-01,2,0001-01-01,2,,
616,Sebastian,Errazuriz,,"[high contrast,angular,installation,sculpture]",0,0,0001-01-01,2,0001-01-01,2,,
617,Elliott,Erwitt,,"[photography,monochromatic]",0,0,0001-01-01,2,0001-01-01,2,,
618,M.C.,Escher,1972,"[angular,high contrast,surrealism]",0,0,0001-01-01,2,0001-01-01,2,,
619,Truls,Espedal,,"[photorealism,surrealism]",0,0,0001-01-01,2,0001-01-01,2,,
620,Tim,Etchells,,"[installation,light]",0,0,0001-01-01,2,0001-01-01,2,,
621,William,Etty,1849,"[nudity,romanticism,scene]",0,0,0001-01-01,2,0001-01-01,2,,
622,Richard,Eurich,1992,"[landscape,seascape,romanticism]",0,0,0001-01-01,2,0001-01-01,2,,
